LGA,Lat,Lng
Agege,6.6180°N,3.3209°E
Ajeremi Ifelodun,6.4555°N,3.3339°E
Alimosho,6.5744°N,3.2570°E
Amuwo Odofin,6.4293°N,3.2684°E
Badagry,6.4183°N,2.8901°E
Epe,6.6055°N,3.9470°E
Eti Osa,6.4590°N,3.6015°E
Ibeju Lekki,6.4569°N,3.8859°E
Ifako Ijaiye,6.6850°N,3.2885°E
Ikeja,6.6018°N,3.3515°E
Ikorodu,6.6194°N,3.5105°E
Kosofe,6.5691°N,3.3793°E
Lagos Island,6.4549°N,3.4246°E
Lagos Mainland,6.5059°N,3.3781°E
Mushin,6.5352°N,3.3490°E
Ojo,6.4579°N,3.1580°E
Oshodi Isolo,6.5313°N,3.3246°E
Shomolu,6.5392°N,3.3842°E
Surulere,6.4983°N,3.3486°E
